Menu,Category,Calories,Fat,Carb,Fiber,Protein
Bacon Gouda & Egg Breakfast Sandwich,Food,370,19,32,1,18
Burrata & Basil Pesto Small Sandwich,Food,300,14,34,2,11
Starbucks® Signature Hot Chocolate,Drink,430,26,45,5,12
BBQ Chicken Protein Box,Food,420,16,49,5,22
Raspberry Whoopie Pie,Food,360,18,45,1,3
Teavana® Shaken Iced Passion Tango™ Tea,Drink,30,0,8,0,0
Vanilla Sweet Cream Cold Brew,Drink,110,6,14,0,1
Chocolate Hazelnut Croissant,Food,390,22,43,2,7
Eggs & Cheese Protein Box,Food,460,24,40,5,23
Slow-Roasted Ham Swiss & Egg Breakfast Sandwich,Food,450,23,42,1,24
Iced Vanilla Latte,Drink,190,4,30,0,7
Iced Caramel Macchiato,Drink,250,7,37,0,10
Clover® Brewed Coffee,Drink,10,0,0,0,1
Blueberry Muffin with Yogurt and Honey,Food,380,16,53,1,6
Chicken BLT Salad Sandwich,Food,470,25,35,3,21
Very Berry Hibiscus Starbucks Refreshers™ Beverage,Drink,60,0,14,1,0
Petite Vanilla Bean Scone,Food,120,5,18,0,2
Everybody's Favorite - Bantam Bagel (2 Pack),Food,100,4,14,0,3
Smoked Mozzarella & Roasted Pepper Sandwich,Food,500,28,46,4,18
Strawberries & Jam Sandwich,Food,600,25,80,10,19
Pumpkin Bread,Food,410,15,63,2,6
Tazo® Bottled Iced Passion,Drink,70,0,17,0,0
Everything Bagel with Cheese,Food,290,4,53,2,11
Teavana® Shaken Iced Peach Green Tea,Drink,60,0,15,0,0
Tazo® Bottled White Cranberry,Drink,140,0,35,0,0
Tazo® Bottled Black Mango,Drink,150,0,38,0,0
Seared Steak Egg & Tomatillo Wrap,Food,410,18,43,2,21
Shaken Sweet Tea,Drink,80,0,19,0,0
Devil's Food Doughnut,Food,430,23,53,2,5
Butterfly Cookie,Food,350,22,38,0,2
Roasted Turkey & Dill Havarti Sandwich,Food,600,32,47,6,32
Iced Lemon Pound Cake,Food,470,20,68,1,6
Cheese & Fruit Protein Box,Food,450,27,34,4,20
Octopus Cookie,Food,330,18,39,1,3
Tazo® Bottled Berry Blossom White,Drink,60,0,15,0,0
Blonde Roast,Drink,5,0,0,0,1
Spinach Feta & Cage Free Egg White Breakfast Wrap,Food,290,10,33,6,19
S'mores Bar,Food,330,17,44,1,2
Classic Coffee Cake,Food,390,16,57,1,5
Green Goddess Avocado Salad,Food,620,37,62,10,13
Hearty Blueberry Oatmeal,Food,220,3,43,5,5
Strawberry Cake Pop,Food,180,9,23,0,2
Cappuccino,Drink,120,4,12,0,8
Double Chocolate Brownie,Food,410,24,46,3,6
Cinnamon Morning Bun,Food,390,15,56,2,8
Featured Dark Roast,Drink,5,0,0,0,1
Iced Espresso Classics - Caffe Mocha,Drink,140,3,23,0,5
Caffè Mocha,Drink,290,8,42,4,13
Birthday Cake Pop,Food,170,9,23,0,1
Sous Vide Egg Bites: Egg White & Red Pepper,Food,170,7,13,1,13
Decaf Pike Place® Roast,Drink,5,0,0,0,1
8-Grain Roll,Food,380,6,70,7,10
Honey BBQ Sriracha Chicken Sandwich,Food,360,7,52,3,22
Cinnamon Raisin Bagel,Food,270,1,58,3,9
Seasonal Fruit Blend,Food,90,0,24,4,1
Tazo® Bottled Organic Black Lemonade,Drink,140,0,35,0,0
Farmers' Market Protein Box,Food,470,29,29,4,21
Oatmeal Cookie,Food,290,12,40,3,5
Tazo® Bottled Organic Black Lemonade,Drink,140,0,35,0,0
Tazo® Bottled Brambleberry,Drink,140,0,35,0,0
Turkey Pesto Panini,Food,560,23,55,3,34
White Chocolate Mocha,Drink,360,11,53,0,14
Cool Lime Starbucks Refreshers™ Beverage,Drink,45,0,11,0,0
Iced White Chocolate Mocha,Drink,300,8,47,0,10
Roasted Tomato & Mozzarella Panini,Food,420,18,47,3,11
Cheese Danish,Food,320,16,36,1,8
Certified Gluten-Free Breakfast Sandwich,Food,280,13,18,6,18
Tazo® Bottled Lemon Ginger,Drink,120,0,31,0,0
Chewy Chocolate Cookie,Food,170,5,30,2,2
Michigan Cherry Oat Bar,Food,310,10,47,2,3
Vermont Maple Walnut Muffin,Food,390,21,45,2,6
Teavana® Shaken Iced Green Tea Lemonade,Drink,70,0,17,0,0
Cauliflower Tabbouleh Side Salad,Food,130,12,7,3,2
Homestyle Chicken & Double-Smoked Bacon,Food,480,17,57,3,23
Sausage Cheddar & Egg Breakfast Sandwich,Food,500,28,41,1,15
Classic Whole-Grain Oatmeal,Food,160,3,28,4,5
Mocha Frappuccino® Blended Coffee,Drink,280,3,60,2,4
Tazo® Bottled Organic Iced Green Tea,Drink,120,0,31,0,0
Nariño 70 Cold Brew with Milk,Drink,0,0,0,0,0
Tazo® Bottled Black with Lemon,Drink,140,0,35,0,0
Butter Croissant,Food,240,12,28,1,5
Pecan Tart,Food,330,18,39,1,4
Latte Macchiato,Drink,190,7,19,0,12
Chicken & Quinoa Protein Bowl ,Food,420,17,42,9,27
Tazo® Bottled Plum Pomegranate,Drink,140,0,35,0,0
Cage-Free Eggs & Seasoned Grains Side Salad,Food,360,18,33,3,17
Nariño 70 Cold Brew,Drink,5,0,0,0,0
Garden Greens & Shaved Parmesan Side Salad,Food,170,13,9,2,7
Strawberry Acai Starbucks Refreshers™ Beverage,Drink,80,0,18,1,0
Spicy Chorizo Monterey Jack & Egg Breakfast Sandwich,Food,500,30,35,3,26
Plain Bagel,Food,280,2,56,2,9
Starbucks® Doubleshot Protein Dark Chocolate,Drink,210,3,33,2,20
Tazo® Bottled White Cranberry,Drink,140,0,35,0,0
Iced Espresso Classics - Vanilla Latte,Drink,130,3,21,0,5
Roasted Carrot & Kale Side Salad,Food,440,26,44,7,10
Ham & Cheese Croissant,Food,320,17,28,1,14
Italian-Style Ham & Spicy Salami,Food,480,20,49,3,22
Latte Macchiato,Drink,190,7,19,0,12
Iced Cinnamon Dolce Latte,Drink,200,4,34,0,7
Caffè Latte,Drink,190,7,19,0,13
Coffee Light Frappuccino® Blended Coffee,Drink,110,0,24,0,3
Chocolate Croissant,Food,330,18,38,1,6
Turkey & Fire-Roasted Corn Salad,Food,560,29,53,7,24
Tazo® Bottled Giant Peach,Drink,150,0,37,0,0
Pike Place® Roast,Drink,5,0,0,0,1
Chocolate Chip Cookie,Food,310,15,42,2,4
Iced Coffee,Drink,0,0,0,0,0
Double Chocolate Loaf Cake,Food,440,23,54,3,5
Egg Salad Sandwich,Food,480,27,42,7,16
Tazo® Bottled Organic Iced Black Tea,Drink,60,0,15,0,0
Tazo® Bottled Berry Blossom White,Drink,60,0,15,0,0
Vanilla Crème,Drink,200,6,28,0,10
Starbucks® Iced Coffee Caramel,Drink,60,0,13,0,1
Starbucks® Iced Coffee Light Sweetened,Drink,50,0,11,0,1
Double Chocolate Chunk Brownie,Food,490,28,55,3,7
Tazo® Bottled Tazoberry,Drink,150,0,38,0,0
Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,Food,230,6,28,2,16
Chocolate Marble Loaf Cake,Food,490,24,64,2,6
Chocolate Chip Cookie Dough Cake Pop,Food,180,9,23,0,2
Cubano Sandwich,Food,430,23,34,3,21
Starbucks® Doubleshot Protein Vanilla,Drink,200,3,34,2,20
Banana Nut Bread,Food,420,22,52,2,6
Vanilla Bean Whoopie Pie,Food,360,18,45,1,3
Multigrain Bagel,Food,350,4,64,8,17
The Classic - Bantam Bagels (2 Pack),Food,200,8,28,0,6
Iced Coffee,Drink,5,0,0,0,0
Coconutmilk Mocha Macchiato,Drink,250,9,32,0,12
Turkey & Havarti Sandwich,Food,460,21,31,2,29
Za'atar Chicken & Lemon Tahini Salad,Food,570,23,67,11,27
Starbucks® Iced Coffee Unsweetened,Drink,10,0,2,0,1
Starbucks Doubleshot® on Ice Beverage,Drink,45,1,5,0,3
Lentils & Vegetable Protein Bowl with Brown Rice,Food,650,29,80,21,23
Gluten-Free Marshmallow Dream Bar,Food,240,5,45,0,2
Cranberry Orange Scone,Food,420,15,64,1,6
Iced Coconutmilk Mocha Macchiato,Drink,260,9,34,0,11
Tazo® Bottled Giant Peach,Drink,150,0,37,0,0
Peanut butter cup cookie,Food,360,21,36,3,8
Tazo® Bottled Organic Iced Black Tea,Drink,60,0,15,0,0
S'mores Bar Multipack,Food,330,17,44,1,2
Reduced-Fat Cinnamon Swirl Coffee Cake,Food,370,9,67,2,5
Pirate Cake Pop,Food,180,9,24,0,1
Nitro Cold Brew,Drink,5,0,0,0,0
Nitro Cold Brew with Sweet Cream,Drink,70,5,5,0,1
Ancho Chipotle Chicken Panini,Food,500,19,57,4,26
Chicken Wrap Protein Box,Food,460,22,45,4,20
Frappuccino® Cookie Straw,Food,90,3,14,0,1
Strawberry Smoothie,Drink,300,2,60,7,16
Teavana® Shaken Iced Green Tea,Drink,30,0,8,0,0
Smoked Turkey Protein Box,Food,360,12,42,5,24
Cinnamon Dolce Frappuccino® Blended Coffee,Drink,350,5,64,0,15
Chocolate Smoothie,Drink,320,5,53,8,20
Seared Steak & Cheddar Sandwich,Food,530,29,44,2,23
Iced Espresso Classics - Caramel Macchiato,Drink,130,3,21,0,5
Cookie Butter Bar,Food,360,23,36,0,2
Organic Avocado (Spread),Food,90,8,5,4,1
Tazo® Bottled Plum Pomegranate,Drink,140,0,35,0,0
Teavana® Shaken Iced Black Tea,Drink,30,0,8,0,0
Tazo® Bottled Brambleberry,Drink,140,0,35,0,0
Tazo® Bottled Organic Iced Green Tea,Drink,120,0,31,0,0
